date,activity,index,Activity,weekend
2020-03-23,Residential,0.13,Residential,FALSE
2020-03-24,Retail and Recreation,-0.34,Retail and Recreation,FALSE
2020-03-24,Workplace,-0.375,Workplace,FALSE
2020-03-24,Residential,0.155,Residential,FALSE
2020-03-25,Retail and Recreation,-0.445,Retail and Recreation,FALSE
2020-03-25,Workplace,-0.43,Workplace,FALSE
2020-03-25,Residential,0.18,Residential,FALSE
2020-03-26,Retail and Recreation,-0.43,Retail and Recreation,FALSE
2020-03-26,Workplace,-0.44,Workplace,FALSE
2020-03-26,Residential,0.19,Residential,FALSE
2020-03-27,Retail and Recreation,-0.45,Retail and Recreation,FALSE
2020-03-27,Workplace,-0.45,Workplace,FALSE
2020-03-27,Residential,0.22,Residential,FALSE
2020-03-28,Retail and Recreation,-0.535,Retail and Recreation,TRUE
2020-03-28,Workplace,-0.35,Workplace,TRUE
2020-03-28,Residential,0.135,Residential,TRUE
2020-03-29,Retail and Recreation,-0.515,Retail and Recreation,TRUE
2020-03-29,Workplace,-0.36,Workplace,TRUE
2020-03-29,Residential,0.11,Residential,TRUE
2020-03-30,Retail and Recreation,-0.38,Retail and Recreation,FALSE
2020-03-30,Workplace,-0.43,Workplace,FALSE
2020-03-30,Residential,0.17,Residential,FALSE
2020-03-31,Retail and Recreation,-0.4,Retail and Recreation,FALSE
2020-03-31,Workplace,-0.44,Workplace,FALSE
2020-03-31,Residential,0.19,Residential,FALSE
2020-04-01,Retail and Recreation,-0.36,Retail and Recreation,FALSE
2020-04-01,Workplace,-0.45,Workplace,FALSE
2020-04-01,Residential,0.19,Residential,FALSE
2020-04-02,Retail and Recreation,-0.35,Retail and Recreation,FALSE
2020-04-02,Workplace,-0.45,Workplace,FALSE
2020-04-02,Residential,0.19,Residential,FALSE
2020-04-03,Retail and Recreation,-0.36,Retail and Recreation,FALSE
2020-04-03,Workplace,-0.47,Workplace,FALSE
2020-04-03,Residential,0.2,Residential,FALSE
2020-04-04,Retail and Recreation,-0.5,Retail and Recreation,TRUE
2020-04-04,Workplace,-0.36,Workplace,TRUE
2020-04-04,Residential,0.13,Residential,TRUE
2020-04-05,Retail and Recreation,-0.47,Retail and Recreation,TRUE
2020-04-05,Workplace,-0.38,Workplace,TRUE
2020-04-05,Residential,0.1,Residential,TRUE
2020-04-06,Retail and Recreation,-0.34,Retail and Recreation,FALSE
2020-04-06,Workplace,-0.45,Workplace,FALSE
2020-04-06,Residential,0.18,Residential,FALSE
2020-04-07,Retail and Recreation,-0.35,Retail and Recreation,FALSE
2020-04-07,Workplace,-0.46,Workplace,FALSE
2020-04-07,Residential,0.18,Residential,FALSE
2020-04-08,Retail and Recreation,-0.34,Retail and Recreation,FALSE
2020-04-08,Workplace,-0.475,Workplace,FALSE
2020-04-08,Residential,0.18,Residential,FALSE
2020-04-09,Retail and Recreation,-0.375,Retail and Recreation,FALSE
2020-04-09,Workplace,-0.485,Workplace,FALSE
2020-04-09,Residential,0.2,Residential,FALSE
2020-04-10,Retail and Recreation,-0.39,Retail and Recreation,FALSE
2020-04-10,Workplace,-0.55,Workplace,FALSE
2020-04-10,Residential,0.23,Residential,FALSE
2020-04-11,Retail and Recreation,-0.44,Retail and Recreation,TRUE
2020-04-11,Workplace,-0.36,Workplace,TRUE
2020-04-11,Residential,0.12,Residential,TRUE
2020-04-12,Retail and Recreation,-0.66,Retail and Recreation,TRUE
2020-04-12,Workplace,-0.45,Workplace,TRUE
2020-04-12,Residential,0.11,Residential,TRUE
2020-04-13,Retail and Recreation,-0.38,Retail and Recreation,FALSE
2020-04-13,Workplace,-0.45,Workplace,FALSE
2020-04-13,Residential,0.19,Residential,FALSE
2020-04-14,Retail and Recreation,-0.35,Retail and Recreation,FALSE
2020-04-14,Workplace,-0.45,Workplace,FALSE
2020-04-14,Residential,0.19,Residential,FALSE
2020-04-15,Retail and Recreation,-0.26,Retail and Recreation,FALSE
2020-04-15,Workplace,-0.46,Workplace,FALSE
2020-04-15,Residential,0.19,Residential,FALSE
2020-04-16,Retail and Recreation,-0.275,Retail and Recreation,FALSE
2020-04-16,Workplace,-0.45,Workplace,FALSE
2020-04-16,Residential,0.19,Residential,FALSE
2020-04-17,Retail and Recreation,-0.4,Retail and Recreation,FALSE
2020-04-17,Workplace,-0.475,Workplace,FALSE
2020-04-17,Residential,0.23,Residential,FALSE
2020-04-18,Retail and Recreation,-0.37,Retail and Recreation,TRUE
2020-04-18,Workplace,-0.31,Workplace,TRUE
2020-04-18,Residential,0.11,Residential,TRUE
2020-04-19,Retail and Recreation,-0.36,Retail and Recreation,TRUE
2020-04-19,Workplace,-0.35,Workplace,TRUE
2020-04-19,Residential,0.1,Residential,TRUE
2020-04-20,Retail and Recreation,-0.21,Retail and Recreation,FALSE
2020-04-20,Workplace,-0.425,Workplace,FALSE
2020-04-20,Residential,0.16,Residential,FALSE
2020-04-21,Retail and Recreation,-0.23,Retail and Recreation,FALSE
2020-04-21,Workplace,-0.44,Workplace,FALSE
2020-04-21,Residential,0.17,Residential,FALSE
2020-04-22,Retail and Recreation,-0.235,Retail and Recreation,FALSE
