date,ages,admissions_m,admissions_f,admissions_total
2021-03-06,30-39,1025,1588,2613
2021-03-06,20-29,529,1487,2016
2021-03-06,5-19,159,285,444
2021-03-06,0-4,83,78,161
2021-03-07,80+,3762,4396,8158
2021-03-07,70-79,5042,4530,9572
2021-03-07,60-69,4798,4129,8927
2021-03-07,50-59,3311,2889,6200
2021-03-07,40-49,1813,1803,3616
2021-03-07,30-39,1027,1596,2623
2021-03-07,20-29,530,1492,2022
2021-03-07,5-19,161,285,446
2021-03-07,0-4,83,77,160
2021-03-08,80+,3765,4399,8164
2021-03-08,70-79,5049,4535,9584
2021-03-08,60-69,4797,4135,8932
2021-03-08,50-59,3315,2891,6206
2021-03-08,40-49,1820,1803,3623
2021-03-08,30-39,1028,1598,2626
2021-03-08,20-29,533,1493,2026
2021-03-08,5-19,159,285,444
2021-03-08,0-4,84,77,161
2021-03-09,80+,4102,4803,8905
2021-03-09,70-79,5477,4945,10422
2021-03-09,60-69,5189,4467,9656
2021-03-09,50-59,3564,3122,6686
2021-03-09,40-49,1966,1958,3924
2021-03-09,30-39,1108,1747,2855
2021-03-09,20-29,578,1645,2223
2021-03-09,5-19,182,334,516
2021-03-09,0-4,89,88,177
2021-03-11,80+,4106,4809,8915
2021-03-11,70-79,5485,4945,10430
2021-03-11,60-69,5203,4467,9670
2021-03-11,50-59,3571,3125,6696
2021-03-11,40-49,1966,1962,3928
2021-03-11,30-39,1110,1749,2859
2021-03-11,20-29,578,1652,2230
2021-03-11,5-19,183,334,517
2021-03-11,0-4,89,88,177
2021-03-12,80+,4112,4813,8925
2021-03-12,70-79,5489,4944,10433
2021-03-12,60-69,5207,4473,9680
2021-03-12,50-59,3574,3129,6703
2021-03-12,40-49,1971,1964,3935
2021-03-12,30-39,1111,1755,2866
2021-03-12,20-29,575,1661,2236
2021-03-12,5-19,184,331,515
2021-03-12,0-4,89,88,177
2021-03-13,80+,4118,4814,8932
2021-03-13,70-79,5490,4943,10433
2021-03-13,60-69,5210,4475,9685
2021-03-13,50-59,3576,3132,6708
2021-03-13,40-49,1975,1967,3942
2021-03-13,30-39,1112,1761,2873
2021-03-13,20-29,574,1662,2236
2021-03-13,5-19,183,333,516
2021-03-13,0-4,89,89,178
