end_date,age_grp,daily_cases,weekly_cases,pop,prop_cases
Jun 20,20 to 29,83,484,930073,0.520389259767782
Jun 20,30 to 39,61,440,844497,0.52102020492672
Jun 20,40 to 49,53,415,815370,0.508971387222979
Jun 20,50 to 59,48,357,871660,0.409563361861276
Jun 20,60 to 69,35,280,772889,0.362277118706567
Jun 20,70 to 79,13,169,450969,0.374748596910209
Jun 20,80 and older,24,155,253527,0.611374725374418
Jun 27,0 to 19,34,312,1752893,0.17799146896017
Jun 27,20 to 29,89,591,930073,0.635433992815618
Jun 27,30 to 39,57,422,844497,0.499705741997899
Jun 27,40 to 49,45,401,815370,0.491801268135938
Jun 27,50 to 59,50,341,871660,0.391207580937522
Jun 27,60 to 69,42,258,772889,0.333812487951051
Jun 27,70 to 79,20,161,450969,0.357009018358246
Jun 27,80 and older,10,117,253527,0.461489308831012
Jul 04,0 to 19,107,418,1752893,0.238462929568433
Jul 04,20 to 29,133,729,930073,0.783809442914696
Jul 04,30 to 39,74,437,844497,0.517467794438583
Jul 04,40 to 49,89,393,815370,0.481989771514772
Jul 04,50 to 59,76,398,871660,0.456600050478398
Jul 04,60 to 69,46,336,772889,0.434732542447881
Jul 04,70 to 79,34,187,450969,0.414662648652125
Jul 04,80 and older,28,176,253527,0.694206139779984
Jul 11,0 to 19,81,532,1752893,0.303498273996188
Jul 11,20 to 29,153,904,930073,0.971966716591063
Jul 11,30 to 39,77,493,844497,0.583779456883802
Jul 11,40 to 49,70,552,815370,0.676993266860444
Jul 11,50 to 59,69,462,871660,0.530023174173416
Jul 11,60 to 69,56,327,772889,0.42308792077517
Jul 11,70 to 79,26,197,450969,0.436837121842078
Jul 11,80 and older,13,110,253527,0.43387883736249
Jul 18,0 to 19,153,775,1752893,0.442126245013244
Jul 18,20 to 29,210,1217,930073,1.30849944036651
Jul 18,30 to 39,140,710,844497,0.840737148859025
Jul 18,40 to 49,115,705,815370,0.864638139740241
Jul 18,50 to 59,143,686,871660,0.787004107105982
Jul 18,60 to 69,69,459,772889,0.593875705308266
Jul 18,70 to 79,56,285,450969,0.631972485913666
Jul 18,80 and older,24,131,253527,0.516710251768056
Jul 25,0 to 19,123,822,1752893,0.468939062452757
Jul 25,20 to 29,205,1353,930073,1.45472452162357
Jul 25,30 to 39,142,904,844497,1.07045969375853
Jul 25,40 to 49,110,841,815370,1.03143358230006
Jul 25,50 to 59,110,789,871660,0.905169446802652
Jul 25,60 to 69,64,524,772889,0.67797575072229
