date,roll_mean_staff_short_perc,mean_mort_rate,roll_mean_admiss,skewness
Dec 08,0.176738072002229,0.127622714148219,426.857142857143,0.870114622686812
Dec 09,0.176738072002229,0.129075565784427,392.428571428571,0.859709222778963
Dec 10,0.179367344570152,0.130199264848133,358.142857142857,0.84631099750438
Dec 11,0.181277083698705,0.130021346788279,345.857142857143,0.84930285049983
Dec 12,0.180238358733599,0.128170637970792,309.428571428571,0.846429637149259
Dec 13,0.179199633768494,0.130297982602258,361.428571428571,0.836140194905677
Dec 14,0.181844576637728,0.143023255813953,362.142857142857,0.819353303782569
Dec 15,0.183247416826474,0.158668572595467,272.714285714286,0.821987701569778
Dec 16,0.181494568447859,0.161113454238718,285,0.827922029818613
Dec 17,0.177988871690628,0.161755075311067,296.285714285714,0.82796006752692
Dec 18,0.180461253508613,0.16474428726877,310.571428571429,0.833607850309416
Dec 19,0.178564115781758,0.162013958125623,263.714285714286,0.835870582933254
Dec 20,0.176666978054903,0.161775771256584,208.142857142857,0.832922134401092
Dec 21,0.176271167556791,0.160964804331775,218.285714285714,0.818784315719372
Dec 22,0.17795157505561,0.167230682459109,233.857142857143,0.824637368717477
Dec 23,0.178827999244917,0.169832094687586,234,0.835192931008821
Dec 24,0.18145727181284,0.167832167832168,234.857142857143,0.842591083390432
Dec 25,0.17795157505561,0.169609416800428,223.428571428571,0.863583096188698
Dec 26,0.178972288593157,0.20314777032935,226.428571428571,0.870271488632326
Dec 27,0.178240153752089,0.245264532984977,229.285714285714,0.875554981461176
Dec 28,0.174605463160876,0.228552929750728,223,0.882677457251059
Dec 29,0.172253059369624,0.209898107714702,256.857142857143,0.88677174574594
Dec 30,0.16774268122465,0.211049400760012,254.714285714286,0.873531518208471
Dec 31,0.162355878890369,0.211987009152642,249,0.869696584741629
Jan 01,0.157850844795331,0.21248382923674,218.285714285714,0.868443400809917
Jan 02,0.154216890839665,0.213457823567289,217.285714285714,0.8817244368714
Jan 03,0.150593624983869,0.214104193138501,220.428571428571,0.898783959345453
Jan 04,0.150593624983869,0.215074109113844,230,0.911841498958965
Jan 05,0.144244418634663,0.213493823249921,194.142857142857,0.914811094326729
Jan 06,0.14337333849529,0.215300193673338,187.857142857143,0.934131162689477
Jan 07,0.142502258355917,0.248863291906638,222.285714285714,0.924363118331677
Jan 08,0.142502258355917,0.258426966292135,214,0.900450268620173
Jan 09,0.141631178216544,0.227166276346604,209.714285714286,0.89324559988035
Jan 10,0.139889017937798,0.199335548172757,209.571428571429,0.901587468188805
Jan 11,0.137772615821396,0.201658374792703,200.714285714286,0.909899497092324
Jan 12,0.137772615821396,0.202866593164278,194.571428571429,0.912744501236062
Jan 13,0.132546134985159,0.203731343283582,195,0.917450800291174
Jan 14,0.128190734288295,0.206170052671181,157.428571428571,0.9125814003825
Jan 15,0.125577493870177,0.203182827535159,172,0.912054830075424
Jan 16,0.12035101303394,0.200720720720721,186.714285714286,0.910004025159742
Jan 17,0.115995612337076,0.205668604651163,183.571428571429,0.894859649850481
Jan 18,0.113739154198265,0.207816610296881,179.428571428571,0.881578386093946
Jan 19,0.113739154198265,0.20687134502924,196.285714285714,0.889581783746982
Jan 20,0.116352394616383,0.206295032233599,181.714285714286,0.879022227504182
Jan 21,0.118094554895129,0.166301009214568,168.142857142857,0.885396635881186
Jan 22,0.119836715173874,0.166456494325347,167.857142857143,0.893476254252141
Jan 23,0.12157887545262,0.165777595404185,161.428571428571,0.888087340080919
Jan 24,0.124192115870739,0.161789297658863,158.142857142857,0.893775958069407
Jan 25,0.123141695702671,0.155967255493322,152.142857142857,0.892795755414732
Jan 26,0.121951219512195,0.158590308370044,128,0.893874511627218
Jan 27,0.118466898954704,0.161625282167043,134.714285714286,0.884967059994108
Jan 28,0.113240418118467,0.167906976744186,139,0.888417781230895
Jan 29,0.106271777003484,0.175421686746988,128.571428571429,0.876749083888564
Jan 30,0.10191637630662,0.179,124.285714285714,0.848880936955051
Jan 31,0.0975609756097561,0.173333333333333,120.428571428571,0.868155759246785
Feb 01,0.0944097151055544,0.179634464751958,121.428571428571,0.892186565249377
Feb 02,0.0912584546013527,0.18739054290718,116.714285714286,0.886121321067089
Feb 03,0.0912584546013527,0.18997668997669,110.428571428571,0.870999449454117
Feb 04,0.0930006148800984,0.192596876807403,108,0.85480285869282
Feb 05,0.094742775158844,0.195876288659794,107,0.86473876258586
Feb 06,0.0956138552982168,0.201904761904762,100.714285714286,0.855052481372191
Feb 07,0.0956138552982168,0.202092871157619,98,0.833163508534893
Feb 08,0.0966642754662841,0.367334167709637,106.857142857143,0.824039845870707
Feb 09,0.0967732079281577,0.380347593582888,97,0.799901631664553
Feb 10,0.0967732079281577,0.394134477825465,89.2857142857143,0.793394454186078
Feb 11,0.0959021277887849,0.420588235294118,86.2857142857143,0.783317091234525
Feb 12,0.0950310476494121,0.426727410782081,81.1428571428571,0.791298978273392
Feb 13,0.0932888873706664,0.473101265822785,79.8571428571429,0.806283184487017
Feb 14,0.0915467270919208,0.518548387096774,79.1428571428572,0.781990866179481
Feb 15,0.0875175034621704,0.572030328559393,62.7142857142857,0.755849645272391
Feb 16,0.0886941598627074,0.581560283687943,84.2857142857143,0.685206905928354
Feb 17,0.0861503920937413,0.53737658674189,113.285714285714,0.623084339676646
Feb 18,0.0844777044641481,0.532290958531611,123.857142857143,0.616998416605574
Feb 19,0.0836814410238626,0.544760582928522,124.714285714286,0.58160097366128
Feb 20,0.0828744894837073,0.58321479374111,121,0.584335869124015
Feb 21,0.0846861224116054,0.595744680851064,122.285714285714,0.585709374731229
